CH4/ppm,H2/ppm,C2H6/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,V2,time
300.000,0.000,0.000,0.000,0.000e+00,-4.178e-02,2.570e-03,5.948e-03,7774.200000
500.000,0.000,0.000,0.000,0.000e+00,-3.022e-02,1.299e-03,5.647e-03,8376.300000
700.000,0.000,0.000,0.000,0.000e+00,-3.355e-02,2.378e-03,5.891e-03,8978.400000
600.000,0.000,0.000,0.000,0.000e+00,-3.581e-02,1.704e-03,6.655e-03,9580.500000
1100.000,0.000,0.000,0.000,0.000e+00,-4.584e-02,2.255e-03,8.035e-03,10182.600000
1300.000,0.000,0.000,0.000,0.000e+00,-4.870e-02,2.514e-03,8.375e-03,10784.700000
1500.000,0.000,0.000,0.000,0.000e+00,-4.943e-02,2.925e-03,8.511e-03,11386.800000
1700.000,0.000,0.000,0.000,0.000e+00,-5.259e-02,2.751e-03,8.831e-03,11988.900000
1600.000,0.000,0.000,0.000,0.000e+00,-5.273e-02,2.520e-03,8.948e-03,12591.000000
2100.000,0.000,0.000,0.000,0.000e+00,-5.686e-02,2.682e-03,9.160e-03,13193.100000
2300.000,0.000,0.000,0.000,0.000e+00,-5.871e-02,2.636e-03,9.214e-03,13795.200000
2500.000,0.000,0.000,0.000,0.000e+00,-5.996e-02,2.594e-03,9.242e-03,14397.300000
0.000,0.000,8.000,0.000,0.000e+00,-1.116e-02,9.630e-04,2.271e-03,17403.600000
0.000,0.000,10.000,0.000,0.000e+00,-1.481e-02,8.130e-04,3.054e-03,18005.700000
0.000,0.000,12.000,0.000,0.000e+00,-1.689e-02,9.143e-04,3.457e-03,18607.800000
0.000,0.000,14.000,0.000,0.000e+00,-1.866e-02,9.286e-04,3.813e-03,19209.900000
0.000,0.000,16.000,0.000,0.000e+00,-2.025e-02,9.810e-04,4.131e-03,19812.000000
0.000,0.000,18.000,0.000,0.000e+00,-2.169e-02,9.936e-04,4.471e-03,20414.100000
0.000,0.000,20.000,0.000,0.000e+00,-2.298e-02,1.021e-03,4.686e-03,21016.200000
0.000,0.000,22.000,0.000,0.000e+00,-2.420e-02,1.006e-03,4.922e-03,21618.300000
0.000,0.000,24.000,0.000,0.000e+00,-2.541e-02,1.020e-03,5.139e-03,22220.400000
0.000,0.000,26.000,0.000,0.000e+00,-2.651e-02,1.010e-03,5.334e-03,22822.500000
300.000,0.000,8.000,0.000,0.000e+00,-2.805e-02,2.203e-03,5.150e-03,25226.700000
300.000,0.000,10.000,0.000,0.000e+00,-3.099e-02,1.923e-03,5.855e-03,25828.800000
300.000,0.000,12.000,0.000,0.000e+00,-3.330e-02,1.800e-03,6.402e-03,26430.900000
300.000,0.000,14.000,0.000,0.000e+00,-3.464e-02,1.762e-03,6.708e-03,27033.000000
300.000,0.000,16.000,0.000,0.000e+00,-3.551e-02,1.746e-03,6.838e-03,27635.100000
300.000,0.000,18.000,0.000,0.000e+00,-3.622e-02,1.728e-03,7.005e-03,28237.200000
300.000,0.000,20.000,0.000,0.000e+00,-3.691e-02,1.706e-03,7.138e-03,28839.300000
