CH4/ppm,H2/ppm,C2H6/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,V2,time
300.000,0.000,56.250,0.000,0.000e+00,-6.642e-02,-9.182e-03,-2.174e-02,7774.200000
500.000,0.000,93.750,0.000,0.000e+00,-7.923e-02,-1.312e-02,-3.509e-02,8376.300000
700.000,0.000,131.250,0.000,0.000e+00,-8.647e-02,-1.534e-02,-4.332e-02,8978.400000
600.000,0.000,112.500,0.000,0.000e+00,-8.356e-02,-1.445e-02,-4.003e-02,9580.500000
1100.000,0.000,206.250,0.000,0.000e+00,-9.718e-02,-1.949e-02,-5.786e-02,10182.600000
1300.000,0.000,243.750,0.000,0.000e+00,-1.009e-01,-2.104e-02,-6.321e-02,10784.700000
1500.000,0.000,281.250,0.000,0.000e+00,-1.041e-01,-2.228e-02,-6.770e-02,11386.800000
1700.000,0.000,318.750,0.000,0.000e+00,-1.069e-01,-2.348e-02,-7.155e-02,11988.900000
1600.000,0.000,300.000,0.000,0.000e+00,-1.055e-01,-2.277e-02,-6.972e-02,12591.000000
2100.000,0.000,393.750,0.000,0.000e+00,-1.113e-01,-2.540e-02,-7.818e-02,13193.100000
2300.000,0.000,431.250,0.000,0.000e+00,-1.130e-01,-2.627e-02,-8.100e-02,13795.200000
2500.000,0.000,468.750,0.000,0.000e+00,-1.144e-01,-2.705e-02,-8.352e-02,14397.300000
0.000,0.000,8.000,0.000,0.000e+00,-6.589e-03,-7.120e-04,-4.214e-04,17403.600000
0.000,0.000,10.000,0.000,0.000e+00,-8.380e-03,-8.616e-04,-5.957e-04,18005.700000
0.000,0.000,12.000,0.000,0.000e+00,-9.867e-03,-1.013e-03,-7.034e-04,18607.800000
0.000,0.000,14.000,0.000,0.000e+00,-1.121e-02,-1.119e-03,-8.058e-04,19209.900000
0.000,0.000,16.000,0.000,0.000e+00,-1.245e-02,-1.212e-03,-9.430e-04,19812.000000
0.000,0.000,18.000,0.000,0.000e+00,-1.369e-02,-1.336e-03,-1.049e-03,20414.100000
0.000,0.000,20.000,0.000,0.000e+00,-1.477e-02,-1.447e-03,-1.201e-03,21016.200000
0.000,0.000,22.000,0.000,0.000e+00,-1.591e-02,-1.549e-03,-1.292e-03,21618.300000
0.000,0.000,24.000,0.000,0.000e+00,-1.696e-02,-1.654e-03,-1.461e-03,22220.400000
0.000,0.000,26.000,0.000,0.000e+00,-1.801e-02,-1.750e-03,-1.581e-03,22822.500000
300.000,0.000,64.250,0.000,0.000e+00,-6.656e-02,-8.952e-03,-2.182e-02,25226.700000
300.000,0.000,66.250,0.000,0.000e+00,-6.780e-02,-9.599e-03,-2.343e-02,25828.800000
300.000,0.000,68.250,0.000,0.000e+00,-6.810e-02,-9.773e-03,-2.382e-02,26430.900000
300.000,0.000,70.250,0.000,0.000e+00,-6.741e-02,-9.462e-03,-2.286e-02,27033.000000
300.000,0.000,72.250,0.000,0.000e+00,-6.838e-02,-9.744e-03,-2.370e-02,27635.100000
300.000,0.000,74.250,0.000,0.000e+00,-6.860e-02,-9.836e-03,-2.398e-02,28237.200000
300.000,0.000,76.250,0.000,0.000e+00,-6.884e-02,-9.915e-03,-2.427e-02,28839.300000
300.000,0.000,78.250,0.000,0.000e+00,-6.891e-02,-9.873e-03,-2.426e-02,29441.400000
300.000,0.000,80.250,0.000,0.000e+00,-6.915e-02,-9.979e-03,-2.448e-02,30043.500000
300.000,0.000,82.250,0.000,0.000e+00,-6.926e-02,-1.002e-02,-2.464e-02,30645.600000
600.000,0.000,120.500,0.000,0.000e+00,-8.329e-02,-1.385e-02,-3.967e-02,33049.800000
600.000,0.000,122.500,0.000,0.000e+00,-8.345e-02,-1.408e-02,-3.990e-02,33651.900000
600.000,0.000,124.500,0.000,0.000e+00,-8.385e-02,-1.426e-02,-4.058e-02,34254.000000
600.000,0.000,126.500,0.000,0.000e+00,-8.389e-02,-1.424e-02,-4.050e-02,34856.100000
600.000,0.000,128.500,0.000,0.000e+00,-8.417e-02,-1.435e-02,-4.091e-02,35458.200000
600.000,0.000,130.500,0.000,0.000e+00,-8.410e-02,-1.425e-02,-4.067e-02,36060.300000
600.000,0.000,132.500,0.000,0.000e+00,-8.434e-02,-1.433e-02,-4.101e-02,36662.400000
600.000,0.000,134.500,0.000,0.000e+00,-8.436e-02,-1.434e-02,-4.086e-02,37264.500000
600.000,0.000,136.500,0.000,0.000e+00,-8.441e-02,-1.436e-02,-4.121e-02,37866.600000
600.000,0.000,138.500,0.000,0.000e+00,-8.451e-02,-1.435e-02,-4.106e-02,38468.700000
900.000,0.000,176.750,0.000,0.000e+00,-9.251e-02,-1.709e-02,-5.158e-02,40872.900000
900.000,0.000,178.750,0.000,0.000e+00,-9.275e-02,-1.728e-02,-5.197e-02,41475.000000
900.000,0.000,180.750,0.000,0.000e+00,-9.287e-02,-1.736e-02,-5.212e-02,42077.100000
900.000,0.000,182.750,0.000,0.000e+00,-9.303e-02,-1.736e-02,-5.222e-02,42679.200000
900.000,0.000,184.750,0.000,0.000e+00,-9.297e-02,-1.737e-02,-5.230e-02,43281.300000
900.000,0.000,186.750,0.000,0.000e+00,-9.316e-02,-1.739e-02,-5.241e-02,43883.400000
900.000,0.000,188.750,0.000,0.000e+00,-9.315e-02,-1.736e-02,-5.246e-02,44485.500000
