CH4/ppm,H2/ppm,C2H6/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,V2,time
300.000,0.000,11.834,0.000,0.000e+00,-4.042e-02,-3.432e-03,-5.483e-03,7774.200000
500.000,0.000,19.723,0.000,0.000e+00,-5.174e-02,-4.890e-03,-9.912e-03,8376.300000
700.000,0.000,27.612,0.000,0.000e+00,-5.938e-02,-6.160e-03,-1.441e-02,8978.400000
600.000,0.000,23.667,0.000,0.000e+00,-5.607e-02,-5.734e-03,-1.251e-02,9580.500000
1100.000,0.000,43.390,0.000,0.000e+00,-6.953e-02,-7.993e-03,-2.181e-02,10182.600000
1300.000,0.000,51.279,0.000,0.000e+00,-7.329e-02,-8.836e-03,-2.520e-02,10784.700000
1500.000,0.000,59.168,0.000,0.000e+00,-7.664e-02,-9.599e-03,-2.830e-02,11386.800000
1700.000,0.000,67.057,0.000,0.000e+00,-7.934e-02,-1.020e-02,-3.114e-02,11988.900000
1600.000,0.000,63.113,0.000,0.000e+00,-7.801e-02,-9.883e-03,-2.982e-02,12591.000000
2100.000,0.000,82.836,0.000,0.000e+00,-8.402e-02,-1.133e-02,-3.641e-02,13193.100000
2300.000,0.000,90.725,0.000,0.000e+00,-8.606e-02,-1.193e-02,-3.884e-02,13795.200000
2500.000,0.000,98.614,0.000,0.000e+00,-8.790e-02,-1.241e-02,-4.099e-02,14397.300000
0.000,0.000,8.000,0.000,0.000e+00,-6.419e-03,-5.953e-04,-4.358e-04,17403.600000
0.000,0.000,10.000,0.000,0.000e+00,-8.300e-03,-7.493e-04,-5.390e-04,18005.700000
0.000,0.000,12.000,0.000,0.000e+00,-9.781e-03,-8.951e-04,-6.489e-04,18607.800000
0.000,0.000,14.000,0.000,0.000e+00,-1.116e-02,-1.033e-03,-7.936e-04,19209.900000
0.000,0.000,16.000,0.000,0.000e+00,-1.240e-02,-1.138e-03,-8.931e-04,19812.000000
0.000,0.000,18.000,0.000,0.000e+00,-1.372e-02,-1.321e-03,-1.033e-03,20414.100000
0.000,0.000,20.000,0.000,0.000e+00,-1.484e-02,-1.409e-03,-1.150e-03,21016.200000
0.000,0.000,22.000,0.000,0.000e+00,-1.596e-02,-1.469e-03,-1.218e-03,21618.300000
0.000,0.000,24.000,0.000,0.000e+00,-1.704e-02,-1.581e-03,-1.330e-03,22220.400000
0.000,0.000,26.000,0.000,0.000e+00,-1.806e-02,-1.672e-03,-1.424e-03,22822.500000
300.000,0.000,19.834,0.000,0.000e+00,-4.217e-02,-3.687e-03,-6.259e-03,25226.700000
300.000,0.000,21.834,0.000,0.000e+00,-4.273e-02,-3.931e-03,-6.524e-03,25828.800000
300.000,0.000,23.834,0.000,0.000e+00,-4.353e-02,-4.115e-03,-6.884e-03,26430.900000
300.000,0.000,25.834,0.000,0.000e+00,-4.398e-02,-4.204e-03,-7.104e-03,27033.000000
